"","ID","Species","Date.collected","Date.intestine.dissected","Date.fish.dissected","island","fishingstatus","Station","sitechla","chla","latitude","depth","Habitat","TL","TL..mm.","FL..mm.","SL..mm.","TWW..g.","Intestine.weight..g.","Gonads","Gonad.voucher","TREM.ALL","CEST.ALL","COP.ALL","ISO.ALL","NEM.ALL"
"1","1001","ACANIG","5-Nov-10","5-Mar-12","25-Apr-12","Tabuaeran","fished","TAB-2010-F1",0.172,0.187,3.82595,65,"forereef",115,115,112,93,37,1.77,"?",15449,6,0,0,0,0
"2","1002","ACANIG","5-Nov-10","14-Feb-12","23-Apr-12","Tabuaeran","fished","TAB-2010-F1",0.172,0.187,3.82595,65,"forereef",146,146,142,118,82.18,8.46,"M",15037,10,0,0,0,1
"3","1003","ACANIG","5-Nov-10","7-Feb-12","25-Apr-12","Tabuaeran","fished","TAB-2010-F1",0.172,0.187,3.82595,65,"forereef",159,159,155,NA,112.16,11.5,"M",15451,130,0,0,0,0
"4","1008","ACANIG","5-Nov-10","7-Feb-12","12-Apr-12","Tabuaeran","fished","TAB-2010-F1",0.172,0.187,3.82595,65,"forereef",160,160,155,130,124,13.08,"F1",15460,91,0,0,0,0
"5","1106","ACANIG","9-Nov-10","14-Feb-12","20-Apr-12","Teraina","fished","TER-2010-F3",0.153,0.154,4.70242,35,"forereef",170,170,162,129,115.29,11.18,"?",NA,293,4,0,0,1
"6","1108","ACANIG","9-Nov-10","21-Feb-12","16-Apr-12","Teraina","fished","TER-2010-F3",0.153,0.154,4.70242,35,"forereef",222,222,213,173,264,38.97,"F3",15743,658,0,0,0,0
"7","1109","ACANIG","9-Nov-10","17-Feb-12","13-Apr-12","Teraina","fished","TER-2010-F3",0.153,0.154,4.70242,35,"forereef",197,197,185,148,190,19.57,"F3",16949,22,0,0,0,0
"8","1114","ACANIG","9-Nov-10","20-Jan-12","18-Apr-12","Teraina","fished","TER-2010-F3",0.153,0.154,4.70242,35,"forereef",164,164,159,130,115.73,38.13,"M",12429,201,0,0,0,2
"9","1115","ACANIG","9-Nov-10","21-Feb-12","13-Apr-12","Teraina","fished","TER-2010-F3",0.153,0.154,4.70242,35,"forereef",217,217,208,173,268,38.96,"F3",16048,420,7,0,0,0
"10","1116","ACANIG","9-Nov-10","21-Jan-12","25-Apr-12","Teraina","fished","TER-2010-F3",0.153,0.154,4.70242,35,"forereef",167,167,159,127,100,9.2,"M",11769,168,0,0,0,1
"11","1118","ACANIG","9-Nov-10","20-Jan-12","12-Apr-12","Teraina","fished","TER-2010-F3",0.153,0.154,4.70242,35,"forereef",219,219,199,165,247,38.13,"F3",9163,516,1,0,0,0
"12","1118","ACANIG","9-Nov-10","20-Jan-12","12-Apr-12","Teraina","fished","TER-2010-F3",0.153,0.154,4.70242,35,"forereef",219,219,199,165,247,38.13,"F3",9163,544,1,0,0,0
"13","1119","ACANIG","9-Nov-10","21-Jan-12","25-Apr-12","Teraina","fished","TER-2010-F3",0.153,0.154,4.70242,35,"forereef",162,162,158,128,113,11.59,"M",12122,461,25,0,0,0
"14","1120","ACANIG","9-Nov-10","21-Feb-12","13-Apr-12","Teraina","fished","TER-2010-F3",0.153,0.154,4.70242,35,"forereef",215,215,206,171,268.83,32.92,"F3",17227,439,1,1,0,0
"15","1745","ACANIG","5-Nov-10","3-Feb-12","18-Apr-12","Tabuaeran","fished","TAB-2010-F1",0.172,0.187,3.82595,65,"forereef",225,225,215,176,243,1.67,"F3",9778,56,0,0,0,0
"16","1746","ACANIG","5-Nov-10","20-Jan-12","13-Apr-12","Tabuaeran","fished","TAB-2010-F1",0.172,0.187,3.82595,65,"forereef",219,219,206,169,236,31.23,"?",9176,173,0,0,0,0
"17","1747","ACANIG","5-Nov-10","24-Feb-12","12-Apr-12","Tabuaeran","fished","TAB-2010-F1",0.172,0.187,3.82595,65,"forereef",197,197,194,159,210,31.41,"F3",9494,61,0,0,0,0
"18","1748","ACANIG","5-Nov-10","21-Feb-12","12-Apr-12","Tabuaeran","fished","TAB-2010-F1",0.172,0.187,3.82595,65,"forereef",168,168,164,131,95.21,6.71,"M",9785,200,0,0,0,0
"19","1749","ACANIG","5-Nov-10","21-Feb-12","23-Apr-12","Tabuaeran","fished","TAB-2010-F1",0.172,0.187,3.82595,65,"forereef",165,165,158,129,110,9.59,"?",NA,106,2,0,0,0
"20","1750","ACANIG","5-Nov-10","14-Feb-12","16-Apr-12","Tabuaeran","fished","TAB-2010-F1",0.172,0.187,3.82595,65,"forereef",200,200,194,161,242,30.73,"?",9188,310,0,0,0,0
