"","species","fishcode","Date.collected","Date.dissected","island","fishingstatus","station","depth","habitat","Previously.dissected.","TL","SL.Field","TWW.Lab","Gonads","Gonad.mass..g.","Gonad.voucher","Stomach.mass..g.","Stomach.voucher","Liver.mass..g.","Fat.mass..g.","TREM.ALL","MONO.ALL","NEM.ALL","COP.ALL","GNATH.ALL","ISO.ALL"
"1","CEPURO",930,"12-Nov-10","6-Apr-12","Jarvis","Unfished","JAR-2010-F1",45,"forereef","Y",175,150,77.89,"F1",NA,"5291",NA,"7044",NA,NA,58,5,0,5,0,0
"2","CEPURO",932,"12-Nov-10","19-Jan-12","Jarvis","Unfished","JAR-2010-F1",45,"forereef","Y",206,170,141,"F1",NA,"16900",NA,"",NA,NA,389,0,7,0,0,0
"3","CEPURO",934,"12-Nov-10","19-Jan-12","Jarvis","Unfished","JAR-2010-F1",45,"forereef","Y",201,172,147,"F1",NA,"16483",NA,"",NA,NA,318,0,0,1,0,0
"4","CEPURO",940,"12-Nov-10","6-Apr-12","Jarvis","Unfished","JAR-2010-F1",45,"forereef","Y",145,121,50.23,"M",NA,"6950",NA,"7163",NA,NA,50,0,1,1,0,0
"5","CEPURO",942,"12-Nov-10","6-Apr-12","Jarvis","Unfished","JAR-2010-F1",45,"forereef","Y",137,110,49.45,"M",NA,"5298",NA,"7041",NA,NA,2,1,0,1,0,0
"6","CEPURO",943,"12-Nov-10","19-Jan-12","Jarvis","Unfished","JAR-2010-F1",45,"forereef","Y",165,138,72.63,"F1",NA,"14394",NA,"",NA,NA,46,0,13,0,0,0
"7","CEPURO",382,"13-Nov-10","19-Jan-12","Jarvis","Unfished","JAR-2010-F2",50,"forereef","Y",131,109,41.29,"F1",NA,"16891",NA,"",NA,NA,13,0,0,0,0,0
"8","CEPURO",383,"13-Nov-10","7-Feb-12","Jarvis","Unfished","JAR-2010-F2",50,"forereef","Y",135,113,41.02,"",NA,"13448",NA,"12671",NA,NA,75,0,23,0,0,0
"9","CEPURO",384,"13-Nov-10","7-Feb-12","Jarvis","Unfished","JAR-2010-F2",50,"forereef","Y",147,122,50.96,"",NA,"13053",NA,"13075",NA,NA,124,0,1,0,1,0
"10","CEPURO",1185,"13-Nov-10","20-Jan-12","Jarvis","Unfished","JAR-2010-F2",50,"forereef","Y",154,125,63.65,"?",NA,"",NA,"",NA,NA,113,0,0,0,2,0
"11","CEPURO",1186,"13-Nov-10","19-Jan-12","Jarvis","Unfished","JAR-2010-F2",50,"forereef","Y",130,105,37.36,"F1",NA,"16103",NA,"",NA,NA,5,0,3,0,0,0
"12","CEPURO",1187,"13-Nov-10","18-Jan-12","Jarvis","Unfished","JAR-2010-F2",50,"forereef","Y",125,104,NA,"?",NA,"16879",NA,"",NA,NA,45,0,0,0,0,0
"13","CEPURO",1188,"13-Nov-10","8-Feb-12","Jarvis","Unfished","JAR-2010-F2",50,"forereef","Y",146,116,53.82,"",NA,"13065",NA,"12659",NA,NA,215,0,30,0,3,0
"14","CEPURO",1190,"13-Nov-10","18-Jan-12","Jarvis","Unfished","JAR-2010-F2",50,"forereef","Y",114,103,31.78,"?",NA,"13825",NA,"13432",NA,NA,38,0,3,0,0,0
"15","CEPURO",1191,"13-Nov-10","18-Jan-12","Jarvis","Unfished","JAR-2010-F2",50,"forereef","Y",123,102,39.97,"?",NA,"",NA,"13854",NA,NA,110,0,1,0,1,0
"16","CEPURO",1193,"13-Nov-10","19-Jan-12","Jarvis","Unfished","JAR-2010-F2",50,"forereef","Y",170,140,80,"?",NA,"16893",NA,"",NA,NA,301,0,55,0,0,0
"17","CEPURO",1194,"13-Nov-10","18-Jan-12","Jarvis","Unfished","JAR-2010-F2",50,"forereef","Y",132,112,38.69,"?",NA,"16095",NA,"",NA,NA,54,0,18,0,0,0
