"","species","ID.number","date.collected","date.dissected","station","depth","habitat","island","fishingstatus","TL","SL","TWW","gonads","gonad.voucher","stomach.voucher","TREM.ALL","NEM.ALL","CEST.ALL","COP.ALL","ISO.ALL"
"1","PARARC","354","11/12/10","6/6/12","JAR-2010-F1",45,"forereef","Jarvis","unfished",129.7,100.9,39.79,"?",9590,9584,0,2,3,0,0
"2","PARARC","355","11/12/10","6/6/12","JAR-2010-F1",45,"forereef","Jarvis","unfished",104,84.8,23.51,"?",NA,8971,0,0,0,0,0
"3","PARARC","356","11/12/10","6/4/12","JAR-2010-F1",45,"forereef","Jarvis","unfished",98.3,79.8,18.72,"F3",12976,13773,6,0,1,0,0
"4","PARARC","357","11/12/10","6/6/12","JAR-2010-F1",45,"forereef","Jarvis","unfished",126.9,102.7,40.57,"?",8986,8994,5,1,3,0,1
"5","PARARC","359","11/12/10","6/6/12","JAR-2010-F1",45,"forereef","Jarvis","unfished",114.8,93.5,24.92,"?",9278,8962,17,0,4,0,0
"6","PARARC","362","11/12/10","6/4/12","JAR-2010-F1",45,"forereef","Jarvis","unfished",93.5,75.7,17.57,"F3",13383,13374,0,0,0,0,0
"7","PARARC","385","11/13/10","6/1/12","JAR-2010-F3",25,"forereef","Jarvis","unfished",115,95,29.47,"?",11204,11238,0,19,0,0,0
"8","PARARC","1713","11/13/10","6/6/12","JAR-2010-F3",25,"forereef","Jarvis","unfished",117,99,30.7,"?",9270,9283,4,0,0,0,0
"9","PARARC","1714","11/13/10","6/4/12","JAR-2010-F3",25,"forereef","Jarvis","unfished",94,81,11.75,"?",NA,13372,0,0,0,0,0
"10","PARARC","1715","11/13/10","6/4/12","JAR-2010-F3",25,"forereef","Jarvis","unfished",108,93,21.75,"?",13772,12982,1,0,0,0,0
"11","PARARC","1716","11/13/10","6/6/12","JAR-2010-F3",25,"forereef","Jarvis","unfished",116,98,28.8,"?",8980,9890,10,0,0,0,0
"12","PARARC","1719","11/13/10","6/1/12","JAR-2010-F3",25,"forereef","Jarvis","unfished",110,90,25.7,"?",11902,11927,12,0,0,0,0
"13","PARARC","1721","11/13/10","6/4/12","JAR-2010-F3",25,"forereef","Jarvis","unfished",80,69,7.45,"?",11594,11285,0,0,0,0,0
"14","PARARC","1722","11/13/10","6/4/12","JAR-2010-F3",25,"forereef","Jarvis","unfished",119,100,34.38,"?",13373,13380,9,0,0,0,0
"15","PARARC","1723","11/13/10","6/4/12","JAR-2010-F3",25,"forereef","Jarvis","unfished",105,87,20.35,"?",12568,12980,2,0,1,0,0
"16","PARARC","1724","11/13/10","6/4/12","JAR-2010-F3",25,"forereef","Jarvis","unfished",110,90,24.92,"?",13369,12981,1,0,0,0,0
"17","PARARC","1727","11/13/10","6/4/12","JAR-2010-F3",25,"forereef","Jarvis","unfished",93,77,13.21,"?",NA,12594,4,0,1,0,0
"18","PARARC","2513","11/13/10","6/6/12","JAR-2010-F3",25,"forereef","Jarvis","unfished",116,95,25.58,"?",8981,9269,4,13,2,0,0
"19","PARARC","2515","11/13/10","6/6/12","JAR-2010-F3",25,"forereef","Jarvis","unfished",124,105,31.69,"?",NA,8973,3,0,2,0,0
"20","PARARC","2516","11/13/10","6/6/12","JAR-2010-F3",25,"forereef","Jarvis","unfished",116,100,27.36,"?",8996,8990,6,1,1,0,0
"21","PARARC","2517","11/13/10","6/4/12","JAR-2010-F3",25,"forereef","Jarvis","unfished",90,76,14.25,"F3",11851,11125,21,0,1,0,0
