"","Fish_ID","island","islandcode","fishingstatus","Station","depth","Habitat","Field.Date","Dissection.date","TL","TL_Thawed","TL_Field","FL_Field","SL_Field","Fish_Weight_Thawed","TREM.ALL","COP.ALL"
"1",116,"Jarvis","1 - Jarvis","Unfished","JAR-2010-F1",45,"forereef","11/12/10","8/21/12",71.81,71.81,72.5,59.7,49.4,3.83,0,0
"2",117,"Jarvis","1 - Jarvis","Unfished","JAR-2010-F1",45,"forereef","11/12/10","8/21/12",56.32,56.32,55.5,48,40.1,2.33,0,0
"3",119,"Jarvis","1 - Jarvis","Unfished","JAR-2010-F1",45,"forereef","11/12/10","8/21/12",55.42,55.42,52.9,46.5,39,2.2,0,0
"4",120,"Jarvis","1 - Jarvis","Unfished","JAR-2010-F1",45,"forereef","11/12/10","8/21/12",56.16,56.16,55.4,48.8,42.8,2.32,0,0
"5",3329,"Jarvis","1 - Jarvis","Unfished","JAR-2010-F1",45,"forereef","11/12/10","8/21/12",63.08,63.08,63.2,57,50,3.43,0,0
"6",3330,"Jarvis","1 - Jarvis","Unfished","JAR-2010-F1",45,"forereef","11/12/10","8/21/12",75.78,75.78,71.7,60.1,51,3.95,0,0
"7",3331,"Jarvis","1 - Jarvis","Unfished","JAR-2010-F1",45,"forereef","11/12/10","8/21/12",71.28,71.28,71.4,61.2,50.4,3.87,0,0
"8",3527,"Jarvis","1 - Jarvis","Unfished","JAR-2010-F1",45,"forereef","11/12/10","8/21/12",65.84,65.84,64.7,57.2,48.3,3.55,0,0
"9",3531,"Jarvis","1 - Jarvis","Unfished","JAR-2010-F1",45,"forereef","11/12/10","8/21/12",62.09,62.09,61.1,53.3,45.4,2.99,0,0
"10",3532,"Jarvis","1 - Jarvis","Unfished","JAR-2010-F1",45,"forereef","11/12/10","8/21/12",61.58,61.58,62.6,53.5,47,3.31,0,0
"11",3533,"Jarvis","1 - Jarvis","Unfished","JAR-2010-F1",45,"forereef","11/12/10","8/21/12",56.05,56.05,55.5,47.5,42.4,2.45,1,0
"12",3314,"Jarvis","1 - Jarvis","Unfished","JAR-2010-F3",25,"forereef","11/13/10","8/21/12",81.01,81.01,75,60,52.6,4.85,0,0
"13",3316,"Jarvis","1 - Jarvis","Unfished","JAR-2010-F3",25,"forereef","11/13/10","8/21/12",73.02,73.02,76.5,62.7,55.9,4.69,0,0
"14",3317,"Jarvis","1 - Jarvis","Unfished","JAR-2010-F3",25,"forereef","11/13/10","8/21/12",60.89,60.89,61.8,53.3,46.6,2.9,0,0
"15",3318,"Jarvis","1 - Jarvis","Unfished","JAR-2010-F3",25,"forereef","11/13/10","8/21/12",60.37,60.37,60.2,52.6,44.4,2.82,0,0
"16",3319,"Jarvis","1 - Jarvis","Unfished","JAR-2010-F3",25,"forereef","11/13/10","8/21/12",57.94,57.94,57.5,50.4,43.5,2.7,0,0
"17",3321,"Jarvis","1 - Jarvis","Unfished","JAR-2010-F3",25,"forereef","11/13/10","8/21/12",57.7,57.7,59.3,50.9,43.9,2.93,0,0
"18",3322,"Jarvis","1 - Jarvis","Unfished","JAR-2010-F3",25,"forereef","11/13/10","8/21/12",62.51,62.51,61.2,51.9,46.7,3.17,0,0
"19",3323,"Jarvis","1 - Jarvis","Unfished","JAR-2010-F3",25,"forereef","11/13/10","8/21/12",75.02,75.02,69.2,59.6,50.1,3.95,0,0
