"","Fish_ID","island","islandcode","fishingstatus","station","depth","habitat","Field.Date","Dissection.date","TL","TL_Thawed","TL_Field","FL_Field","SL_Field","Fish_Weight_Thawed","Stomach","Gonads","TREM.ALL","NEM.ALL","CEST.ALL"
"1","1","Palmyra","3 - Palmyra","Unfished","Penguin Spit Channel",15,"backreef","10/25/10","6/14/12",92.069,NA,84.8,77.2,71.1,11.4,12522,"11759",2,0,0
"2","2","Palmyra","3 - Palmyra","Unfished","Penguin Spit Channel",15,"backreef","10/25/10","6/14/12",81.71,81.71,85.3,75.5,67.8,12.35,9296,"9606",2,0,0
"3","4","Palmyra","3 - Palmyra","Unfished","Penguin Spit Channel",15,"backreef","10/25/10","6/12/12",77.89,77.89,77.8,70.6,63.5,11.18,12945,"12543",0,0,0
"4","5","Palmyra","3 - Palmyra","Unfished","Penguin Spit Channel",15,"backreef","10/25/10","6/14/12",83.93,83.93,83.5,75.1,66.9,13.85,9907,"9874",0,0,0
"5","6","Palmyra","3 - Palmyra","Unfished","Penguin Spit Channel",15,"backreef","10/25/10","6/12/12",89.95,89.95,88.9,81.5,71.9,15,13739,"12938",0,0,0
"6","8","Palmyra","3 - Palmyra","Unfished","Penguin Spit Channel",15,"backreef","10/25/10","6/11/12",93.1634,NA,87.2,78.9,71.9,16,12917,"12912",0,0,0
"7","9","Palmyra","3 - Palmyra","Unfished","Penguin Spit Channel",15,"backreef","10/25/10","6/14/12",84.98,84.98,83,75.7,66.7,12.88,9878,"9580",2,0,0
"8","10","Palmyra","3 - Palmyra","Unfished","Penguin Spit Channel",15,"backreef","10/25/10","6/11/12",81.53,81.53,81.3,73.2,67.8,13.39,12550,NA,0,0,0
"9","12","Palmyra","3 - Palmyra","Unfished","Penguin Spit Channel",15,"backreef","10/25/10","6/11/12",78.67,78.67,83.8,73.4,68.9,11.88,12921,NA,0,0,0
"10","13","Palmyra","3 - Palmyra","Unfished","Penguin Spit Channel",15,"backreef","10/25/10","6/12/12",87.65,87.65,90.8,81.4,75.9,13.8,13733,"13329",0,0,0
"11","15","Palmyra","3 - Palmyra","Unfished","Penguin Spit Channel",15,"backreef","10/25/10","6/12/12",87.98,87.98,88.4,78.4,73.2,14.49,13747,"12532",1,0,0
"12","66","Kingman","2 - Kingman","Unfished","KIN-2010-F1",45,"forereef","10/31/10","6/11/12",79.02,79.02,83.1,73.2,58.8,11,11429,"11373",0,0,0
"13","71","Kingman","2 - Kingman","Unfished","KIN-2010-F1",45,"forereef","10/31/10","6/14/12",91.55,91.55,92.9,80.9,65.5,14.41,14297,"15109",1,0,0
"14","73","Kingman","2 - Kingman","Unfished","KIN-2010-F1",45,"forereef","10/31/10","6/12/12",96.48,96.48,86.4,74.9,62.1,12,13678,"11758",0,0,0
"15","168","Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","6/13/12",109.33,109.33,112.1,103.7,84.7,27,11747,"11401",1,0,0
"16","170","Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","6/8/12",99.4562,NA,101.1,92.9,76.5,NA,NA,"",0,0,0
"17","172","Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","6/8/12",104.7914,NA,106.6,96.5,80.4,NA,NA,"",0,0,0
"18","173","Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","6/8/12",98.31,98.31,101.8,94.4,74.3,23.52,16241,"16275",0,0,0
"19","174","Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","6/13/12",90.5642,NA,96.6,88.5,70,NA,NA,"",0,0,0
"20","176","Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","6/8/12",90.1538,NA,95.7,87.3,69.7,NA,NA,"",0,0,0
"21","216","Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","6/8/12",96.857,NA,93.9,87.4,74.6,NA,NA,"",0,0,0
"22","220","Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","6/13/12",101.19,101.19,95.8,81.9,74.9,22,12481,"12085",1,0,0
"23","221","Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","6/8/12",91.96,91.96,90.4,81.1,71.1,18.74,17053,NA,0,0,0
"24","223","Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","6/8/12",104.2442,NA,100,95,80,NA,NA,"",0,0,0
"25","224","Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","6/13/12",98.03,98.03,90,85,73,19.04,15069,"14158",2,0,0
