fish_id,fish_species,date_collected,island,fishing_status,station,fish_depth,fish_habitat,total_length_mm,fork_length_mm,standard_length_mm,total_wet_weight_grams,trematodes_count,cestodes_count,copepods_count,isopods_count,nematodes_count,monogenians_count,gnathopods_count
1,ACANIG,11/05/10,Tabuaeran,fished,TAB-2010-F1,65,forereef,115,112,93,37,6,0,0,0,0,0,0
2,ACANIG,11/05/10,Tabuaeran,fished,TAB-2010-F1,65,forereef,146,142,118,82.18,10,0,0,0,1,0,0
3,ACANIG,11/05/10,Tabuaeran,fished,TAB-2010-F1,65,forereef,159,155,NA,112.16,130,0,0,0,0,0,0
4,ACANIG,11/05/10,Tabuaeran,fished,TAB-2010-F1,65,forereef,160,155,130,124,91,0,0,0,0,0,0
5,ACANIG,11/09/10,Teraina,fished,TER-2010-F3,35,forereef,170,162,129,115.29,293,4,0,0,1,0,0
6,ACANIG,11/09/10,Teraina,fished,TER-2010-F3,35,forereef,222,213,173,264,658,0,0,0,0,0,0
7,ACANIG,11/09/10,Teraina,fished,TER-2010-F3,35,forereef,197,185,148,190,22,0,0,0,0,0,0
8,ACANIG,11/09/10,Teraina,fished,TER-2010-F3,35,forereef,164,159,130,115.73,201,0,0,0,2,0,0
9,ACANIG,11/09/10,Teraina,fished,TER-2010-F3,35,forereef,217,208,173,268,420,7,0,0,0,0,0
10,ACANIG,11/09/10,Teraina,fished,TER-2010-F3,35,forereef,167,159,127,100,168,0,0,0,1,0,0
11,ACANIG,11/09/10,Teraina,fished,TER-2010-F3,35,forereef,219,199,165,247,516,1,0,0,0,0,0
12,ACANIG,11/09/10,Teraina,fished,TER-2010-F3,35,forereef,219,199,165,247,544,1,0,0,0,0,0
13,ACANIG,11/09/10,Teraina,fished,TER-2010-F3,35,forereef,162,158,128,113,461,25,0,0,0,0,0
14,ACANIG,11/09/10,Teraina,fished,TER-2010-F3,35,forereef,215,206,171,268.83,439,1,1,0,0,0,0
15,ACANIG,11/05/10,Tabuaeran,fished,TAB-2010-F1,65,forereef,225,215,176,243,56,0,0,0,0,0,0
16,ACANIG,11/05/10,Tabuaeran,fished,TAB-2010-F1,65,forereef,219,206,169,236,173,0,0,0,0,0,0
17,ACANIG,11/05/10,Tabuaeran,fished,TAB-2010-F1,65,forereef,197,194,159,210,61,0,0,0,0,0,0
18,ACANIG,11/05/10,Tabuaeran,fished,TAB-2010-F1,65,forereef,168,164,131,95.21,200,0,0,0,0,0,0
19,ACANIG,11/05/10,Tabuaeran,fished,TAB-2010-F1,65,forereef,165,158,129,110,106,2,0,0,0,0,0
20,ACANIG,11/05/10,Tabuaeran,fished,TAB-2010-F1,65,forereef,200,194,161,242,310,0,0,0,0,0,0
21,ACANIG,11/05/10,Tabuaeran,fished,TAB-2010-F1,65,forereef,130,123,99,50,0,0,0,0,0,0,0
22,ACANIG,11/05/10,Tabuaeran,fished,TAB-2010-F1,65,forereef,197,189,155,220,27,0,0,0,0,0,0
23,ACANIG,11/05/10,Tabuaeran,fished,TAB-2010-F1,65,forereef,208,202,168,226,30,0,0,0,0,0,0
24,ACANIG,11/05/10,Tabuaeran,fished,TAB-2010-F1,65,forereef,205,202,162,229,89,0,0,0,0,0,0
25,ACANIG,11/05/10,Tabuaeran,fished,TAB-2010-F1,65,forereef,205,202,173,239,231,0,0,0,0,0,0
26,ACANIG,11/05/10,Tabuaeran,fished,TAB-2010-F1,65,forereef,154,150,125,92,12,0,0,0,0,0,0
27,ACANIG,11/05/10,Tabuaeran,fished,TAB-2010-F1,65,forereef,190,185,155,209,219,0,0,0,0,0,0
28,ACANIG,11/05/10,Tabuaeran,fished,TAB-2010-F1,65,forereef,95,93,77,NA,0,0,0,0,0,0,0
29,ACANIG,11/05/10,Tabuaeran,fished,TAB-2010-F1,65,forereef,125,120,100,50.78,14,0,0,0,0,0,0
30,ACANIG,11/05/10,Tabuaeran,fished,TAB-2010-F1,65,forereef,120,115,95,43,0,0,0,0,0,0,0
31,ACANIG,11/09/10,Teraina,fished,TER-2010-F2,35,forereef,208,201,164,260,243,0,0,0,0,0,0
32,ACANIG,11/09/10,Teraina,fished,TER-2010-F3,35,forereef,152,144,115,83,39,0,0,0,0,0,0
33,ACANIG,11/09/10,Teraina,fished,TER-2010-F3,35,forereef,194,189,157,196,122,2,0,0,0,0,0
34,ACANIG,11/12/10,Jarvis,unfished,JAR-2010-F1,45,forereef,179,170,146,144.08,335,13,0,0,0,0,0
35,ACANIG,11/12/10,Jarvis,unfished,JAR-2010-F1,45,forereef,219,208,176,319,876,8,0,1,0,0,0
36,ACANIG,11/12/10,Jarvis,unfished,JAR-2010-F1,45,forereef,188,180,154,162,399,2,0,0,0,0,0
37,ACANIG,11/12/10,Jarvis,unfished,JAR-2010-F1,45,forereef,219,210,180,315,1757,1,0,0,0,0,0
38,ACANIG,11/19/10,Kiritimati,fished,KIR-2010-F1,35,forereef,208,201,169,230,1447,5,0,0,0,0,0
39,ACANIG,11/19/10,Kiritimati,fished,KIR-2010-F1,35,forereef,146,142,117,80.52,291,0,0,0,0,0,0
40,ACANIG,10/31/10,Kingman,unfished,KIN-2010-F3,35,patchreef,174.3,164.3,134.5,116.76,220,0,0,0,0,0,0
41,ACANIG,10/31/10,Kingman,unfished,KIN-2010-F3,35,patchreef,173.5,162.2,133.4,115.69,317,0,0,0,0,0,0
42,ACANIG,10/31/10,Kingman,unfished,KIN-2010-F3,35,patchreef,177.5,169.3,147.5,100.5,182,2,0,0,0,0,0
43,ACANIG,11/02/10,Kingman,unfished,KIN-2010-F5,60,forereef,175.7,165.1,135.4,130.36,61,3,0,0,0,0,0
44,ACANIG,11/02/10,Kingman,unfished,KIN-2010-F5,60,forereef,157.3,146.8,122.5,99.73,0,0,0,0,1,0,0
45,ACANIG,11/02/10,Kingman,unfished,KIN-2010-F5,60,forereef,164.2,156.7,131.7,131.31,6,0,0,0,0,0,0
46,ACANIG,11/05/10,Tabuaeran,fished,TAB-2010-F1,65,forereef,154,146,125,91,102,0,1,0,1,0,0
47,ACANIG,11/05/10,Tabuaeran,fished,TAB-2010-F1,65,forereef,123,118,97,39,15,0,0,0,0,0,0
48,ACANIG,11/05/10,Tabuaeran,fished,TAB-2010-F1,65,forereef,155,148,125,91,167,0,0,0,0,0,0
49,ACANIG,11/05/10,Tabuaeran,fished,TAB-2010-F1,65,forereef,151,148,120,84.53,24,0,0,0,0,0,0
50,ACANIG,11/05/10,Tabuaeran,fished,TAB-2010-F1,65,forereef,147,136,114,76,19,0,0,0,0,0,0
51,ACANIG,11/05/10,Tabuaeran,fished,TAB-2010-F1,65,forereef,211,205,170,2.59,92,1,0,0,0,0,0
52,ACANIG,11/05/10,Tabuaeran,fished,TAB-2010-F1,65,forereef,231,214,175,276,61,0,0,0,0,0,0
53,ACANIG,11/05/10,Tabuaeran,fished,TAB-2010-F1,65,forereef,180,169,139,145,70,0,0,0,1,0,0
54,ACANIG,11/08/10,Teraina,fished,TER-2010-F1,60,forereef,190,181,152,185.45,114,1,0,0,0,0,0
55,ACANIG,11/08/10,Teraina,fished,TER-2010-F1,60,forereef,199,190,161,185,10,0,0,0,0,0,0
56,ACANIG,11/08/10,Teraina,fished,TER-2010-F1,60,forereef,145,139,114,69.91,52,1,0,0,2,0,0
57,ACANIG,11/08/10,Teraina,fished,TER-2010-F1,60,forereef,201,199,168,218,108,0,1,0,1,0,0
58,ACANIG,11/08/10,Teraina,fished,TER-2010-F1,60,forereef,158,152,127,87.63,38,1,0,0,2,0,0
59,ACANIG,11/08/10,Teraina,fished,TER-2010-F1,60,forereef,160,155,130,103.33,141,0,0,0,0,0,0
60,ACANIG,11/08/10,Teraina,fished,TER-2010-F1,60,forereef,181,175,151,174.85,102,0,0,0,1,0,0
61,ACANIG,11/08/10,Teraina,fished,TER-2010-F1,60,forereef,160,156,132,113,18,0,0,0,0,0,0
62,ACANIG,11/08/10,Teraina,fished,TER-2010-F1,60,forereef,160,156,132,113,18,0,0,0,0,0,0
63,ACANIG,11/08/10,Teraina,fished,TER-2010-F1,60,forereef,160,156,132,113,39,0,0,0,0,0,0
64,ACANIG,11/08/10,Teraina,fished,TER-2010-F1,60,forereef,160,156,132,113,39,0,0,0,0,0,0
65,ACANIG,11/08/10,Teraina,fished,TER-2010-F1,60,forereef,200,191,159,185,86,0,0,0,0,0,0
66,ACANIG,11/08/10,Teraina,fished,TER-2010-F1,60,forereef,160,153,129,91,175,0,0,0,1,0,0
67,ACANIG,11/12/10,Jarvis,unfished,JAR-2010-F1,45,forereef,171,165,136,121.16,266,2,0,0,0,0,0
68,ACANIG,11/12/10,Jarvis,unfished,JAR-2010-F1,45,forereef,175,166,140,136.66,1135,4,0,0,0,0,0
